imgPath,Prompt,Response,Ground Truth
Map2Loc_Full_Test_Data/testing_data_jpeg\utaustin_19588.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(61, 62, 36, 35)","(61.30954, 63.33133, 36.06537, 34.81109)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-0217cef0-3269-438f-8d3a-e90c790e3e51.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-98.4950, -98.4900, 29.4280, 29.4210)","(-98.45273249189432,-98.44579567462635,29.425918130707636,29.418429952736904)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-059286d4-b320-4d49-8c41-3953476d4d65.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-102.0767, -102.0716, 32.0059, 32.0028)","(-102.0772518603089,-102.07356178504337,32.002990011327114,31.99919526555169)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-0a74c187-f4f3-4b31-a06f-031150f118be.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-102.0767, -102.0720, 32.0014, 31.9969)","(-102.07403254553127,-102.07032452395434,31.996766533720248,31.99296428070022)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-271b5c49-909e-4f54-9cf0-f97ef27a51f3.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-98.1069, -98.1033, 32.4435, 32.4411)","(-97.79217966386653,-97.78845964277286,32.44445083897106,32.440867752013844)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-2d92b8d0-541d-4ee4-86e2-c284201923e5.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-97.067, -97.059, 33.637, 33.631)","(-96.59746172106061,-96.59186423224261,33.6485138501335,33.64419735906068)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-2e17c199-5f9a-4900-a181-28c8375f2974.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-96.8546275, -96.8478434, 32.3942108, 32.3876354)","(-96.85131851613806,-96.84598704937858,32.3860613508566,32.38169809723967)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-2e9943f4-b039-457e-8ca6-107d76cdbe07.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-96.621914, -96.615768, 33.197246, 33.192916)","(-96.61687741714333,-96.61311391550034,33.2047024612414,33.20086692022505)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-36342f32-cd97-49f9-9d56-048c3ce50381.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-96.6193, -96.6089, 33.6447, 33.6412)","(-96.61456520318683,-96.60546725657488,33.632182637624155,33.623091703395744)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-3ae9e611-8cbe-4fa9-a920-8e8cfd5f9b32.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-96.544611, -96.538722, 29.711923, 29.709203)","(-96.54350878987586,-96.53910439951632,29.710586900525083,29.70739811101044)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-3f2192f9-6cc1-47ed-a4be-0f9c5eeba308.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-97.806, -97.793, 32.759, 32.748)","(-97.80899038408167,-97.80201050749126,32.76447360487514,32.756907030593275)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-42d0a429-4871-476d-8994-7851af52566c.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-95.7129, -95.7095, 32.6725, 32.6711)","(-95.71771179919499,-95.71387617532466,32.677987025025075,32.67404754918975)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-4975bbc6-fe8b-4a41-aff9-5d4157908ab2.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-97.4012, -97.3965, 27.8007, 27.7965)","(-97.39696270103329,-97.39229050188871,27.79687063674465,27.792245606656458)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-4b4a41d5-b57b-43ca-b73f-52a68b42fe52.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-97.7500, -97.7400, 30.2800, 30.2700)","(-95.36118751751617,-95.35602546073262,29.76487219131399,29.760187735452483)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-54096531-085e-46dc-a587-a0d5c9e9cfbc.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-102.417, -102.407, 32.004, 31.994)","(-102.07417942536003,-102.07033240016165,31.999934865434145,31.996089072603016)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-543f8598-ca69-4363-89d1-10a389619f12.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-97.456, -97.450, 29.510, 29.506)","(-97.4529832685223,-97.448091314169,29.50840552172043,29.50383842018694)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-5e600409-5163-494e-b823-415683c019e9.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-97.76194, -97.75428, 30.265, 30.261)","(-96.80128008274886,-96.7958268702283,32.79955630714448,32.79503685815921)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-641dfa09-bbf9-4517-a52b-488c6ae2b38a.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-97.799857, -97.792024, 32.448157, 32.440727)","(-97.79554378088424,-97.79178622443715,32.44363275875034,32.43994654597256)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-69d529d4-7ad4-4c1e-b88e-32d670c0a559.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-99.159715, -99.151193, 30.052153, 30.038257)","(-99.13487544775222,-99.12377525404733,30.049045070140917,30.03928832428441)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-6b434364-b9b2-4e4a-b93b-f324bd2b4767.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-95.4900, -95.4800, 32.6800, 32.6700)","(-95.4891058483516,-95.48427666435143,32.664716640347486,32.66034774169806)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-744e50ea-04ab-4510-939d-741854a6d2b5.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-93.7512, -93.7341, 32.5141, 32.5006)","(-96.7656602607521,-96.76146524062547,32.791572602047566,32.78814958925949)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-748c0f2e-edcf-4244-999c-893be4b7e096.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-94.6179, -94.6069, 30.7241, 30.7161)","(-99.78918146778089,-99.78112668040451,30.91475390950736,30.90914981285576)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-770142b2-4d54-4d20-a637-86569ad5d739.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-97.7420, -97.7350, 30.2730, 30.2670)","(-96.79906248138883,-96.79365028807848,32.78936149797785,32.784690578784506)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-7fa061a1-8b97-4bc8-8196-b0dcbdde149e.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-106.4875, -106.481, 31.7615, 31.7582)","(-106.48580209053713,-106.48033471202945,31.76341909271666,31.758603916350648)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-81c23d99-435d-4198-91b4-3843379c6b24.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.",Error: Could not Generate a Response,"(-96.93890543085193,-96.93483221049826,30.18470916423731,30.18060442911644)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-832a9e5e-c6c1-4514-be45-fb5f8d163f4b.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-95.308611, -95.301944, 32.353056, 32.347222)","(-95.3018901467193,-95.29829655612492,32.353050741440576,32.349337505037084)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-8c3ae14d-b70c-44ac-a44d-ff76807521c6.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-97.7444, -97.7400, 30.2733, 30.2700)","(-98.20710875523588,-98.20145616663672,32.22301590757481,32.218594546135996)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-8f1aee61-8f1d-414f-bcd1-bfa76e0e8caa.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-96.6378, -96.6259, 32.7508, 32.7446)","(-96.63689454164214,-96.63014582500662,32.336510383912376,32.33144834460713)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-979108c3-7197-4e28-b68c-8823935dce68.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-96.6321, -96.6310, 32.3293, 32.3282)","(-96.62884617751615,-96.62170705396454,32.329763604770825,32.32449864659911)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-9868204f-8057-4d34-955b-6871b820f0cb.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-97.799, -97.785, 32.448, 32.443)","(-97.79220848399015,-97.78837064402134,32.444701350039715,32.441054683920655)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-9c81418e-d1fa-43e6-acdd-5749e4c416a2.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-122.995, -122.985, 39.320, 39.310)","(-96.81217166356056,-96.80645438816688,32.82076203868112,32.81602683807302)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-9d7cda9d-485c-4d5b-8d56-7c19adff16f9.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-97.7994, -97.7933, 32.7641, 32.7600)","(-97.80363757412553,-97.79679410033859,32.75495703441259,32.74768904306867)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-9e8892d0-8f57-4a2a-b2d8-4686c9117db9.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-97.7444, -97.7334, 30.2871, 30.2774)","(-97.55955942591237,-97.55461219884265,30.345212111663894,30.341344786253266)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-a7d09926-3864-4f4a-8b11-dcdb62ce9b60.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-96.6215, -96.6148, 33.2005, 33.1936)","(-96.61837016968926,-96.61469258191295,33.2013499159022,33.19765503317892)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-a8e64277-ff37-4568-b264-3657db773f75.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-96.3225, -96.3067, 32.5911, 32.5856)","(-96.3118507246748,-96.30809986502294,32.588495591115034,32.58460416366262)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-a968f8e3-acf9-4a2c-99b7-1551a820a92b.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-97.35525, -97.34760, 31.09385, 31.08630)","(-97.33798247346695,-97.3294004906062,31.09955171480569,31.091412068983004)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-b3ba9b4d-2658-4121-a0e6-0432bffa0ee0.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-96.6200, -96.6120, 33.1990, 33.1920)","(-96.62346817990074,-96.61965699050253,33.20129985340219,33.197561941434046)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-c481ab22-4f33-4ca7-b57d-a47aac2d70cd.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-98.510144, -98.493153, 29.454998, 29.445538)","(-98.5117297318227,-98.50790162334374,29.426965795534603,29.42281333973879)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-d1632ce6-04ec-4715-8a7c-e95ffc815ac5.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-97.803, -97.795, 32.763, 32.754)","(-97.80245447437181,-97.7973940525318,32.757842048565124,32.75413214227423)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-d421caad-3787-41f8-81af-4975fd5874ef.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-106.490, -106.485, 31.762, 31.758)","(-106.47899186520621,-106.47356004342292,31.775973521733153,31.771131605499768)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-d76910d8-7f79-4a59-a74e-90ca48fbed13.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-100.439444, -100.437778, 31.464722, 31.462222)","(-100.43227133063507,-100.42516579446163,31.47173192350306,31.464278948826898)"
Map2Loc_Full_Test_Data/testing_data_jpeg\utlmaps-d81386e7-26e3-4564-aeec-1f1bee0e9b61.jpeg,"The image provided is a map of a street or region in the world. Please locate the top left and bottom right longitude and latitude coordinates of the provided location's bounding box. The longitude values should range from -180 degrees to 180 degrees and the latitude values should range from -90 degrees to 90 degrees. Please provide no additional text in your response and provide an educated guess if there is not enough information to deduce a response. Please provide your response in the following format: ""(leftmost longitude number, rightmost longitude number, top latitude number, bottom latitude number)"". These numbers should not include text and the ° symbol. The values can include decimal values.","(-96.571798, -96.560076, 31.545849, 31.543411)","(-96.83040891345726,-96.82483282617508,31.54752257089151,31.54296980236279)"
